MatchID,HomeTeam,RoadTeam,HomeNumberPenalties,RoadNumberPenalties,HomeTeamPMinutes,RoadTeamPMinutes,GoalDifferential,HomePenaltySum,AwayPenaltySum,HomeTeamPlayers,RoadTeamPlayers,Period,Time_Of_Penalty,minutes,seconds,RegularSeason
2014020014,20,11,1,1,2,2,5,NULL,NULL,5,5,3,0:08:32,48,32,1
2014020013,22,4,1,1,2,2,1,NULL,NULL,5,5,3,0:04:47,44,47,1
2014020011,18,23,1,1,2,2,-1,NULL,NULL,5,4,2,0:02:29,22,29,1
2014020011,18,23,1,1,2,2,-1,NULL,NULL,4,5,2,0:08:41,28,41,1
2014020010,12,21,1,1,2,2,0,NULL,NULL,5,5,1,0:13:41,13,41,1
2014020010,12,21,1,1,2,2,0,NULL,NULL,5,5,2,0:11:02,31,2,1
2014020010,12,21,1,1,2,2,0,NULL,NULL,5,5,2,0:13:31,33,31,1
2014020009,9,13,1,1,2,2,-1,NULL,NULL,5,5,2,0:00:35,20,35,1
2014020008,3,2,1,1,2,2,1,NULL,NULL,5,5,3,0:03:57,43,57,1
2014020005,8,30,1,1,2,2,0,NULL,NULL,5,5,1,0:09:46,9,46,1
2013021225,8,28,1,1,2,2,0,NULL,NULL,5,5,3,0:02:03,42,3,1
2013021221,14,13,1,1,2,2,0,NULL,NULL,5,5,1,0:06:13,6,13,1
2013021219,6,25,1,1,2,2,3,NULL,NULL,5,5,2,0:16:06,36,6,1
2013021214,2,23,1,1,2,2,0,NULL,NULL,5,5,3,0:04:58,44,58,1
2013021213,15,7,1,1,2,2,-1,NULL,NULL,5,5,3,0:09:18,49,18,1
2013021213,15,7,1,1,2,2,0,NULL,NULL,5,5,3,0:20:00,60,0,1
2013021209,22,18,1,1,2,2,0,NULL,NULL,5,5,1,0:19:15,19,15,1
2013021209,22,18,1,1,2,2,3,NULL,NULL,5,5,3,0:12:26,52,26,1
2013021206,9,29,1,1,2,2,-2,NULL,NULL,5,5,2,0:14:05,34,5,1
2013021204,25,11,1,1,2,2,0,NULL,NULL,5,5,2,0:10:29,30,29,1
2013021204,25,11,1,1,2,2,0,NULL,NULL,5,5,3,0:11:13,51,13,1
2013021202,5,13,1,1,2,2,-1,NULL,NULL,5,5,2,0:10:17,30,17,1
2013021194,23,8,1,1,2,2,1,NULL,NULL,5,5,3,0:18:57,58,57,1
2013021181,28,27,1,1,2,2,0,NULL,NULL,5,5,1,0:07:55,7,55,1
2013021181,28,27,1,1,2,2,-1,NULL,NULL,5,5,2,0:17:47,37,47,1
2013021179,25,10,1,1,2,2,-1,NULL,NULL,5,5,2,0:08:45,28,45,1
2013021179,25,10,1,1,2,2,-2,NULL,NULL,5,5,2,0:18:54,38,54,1
2013021174,4,18,1,1,2,2,0,NULL,NULL,5,5,2,0:12:23,32,23,1
2013021170,26,17,1,1,2,2,-3,NULL,NULL,5,5,3,0:16:04,56,4,1
2013021164,2,9,1,1,2,2,2,NULL,NULL,5,5,3,0:18:55,58,55,1
2013021161,18,11,1,1,2,2,0,NULL,NULL,5,5,1,0:10:07,10,7,1
2013021161,18,11,1,1,2,2,-3,NULL,NULL,5,5,3,0:07:59,47,59,1
2013021161,18,11,1,1,2,2,-3,NULL,NULL,5,5,3,0:09:55,49,55,1
2013021157,14,3,1,1,2,2,0,NULL,NULL,5,5,2,0:18:24,38,24,1
2013021152,26,19,1,1,2,2,1,NULL,NULL,5,5,2,0:12:59,32,59,1
2013021152,26,19,1,1,2,2,1,NULL,NULL,5,5,3,0:08:29,48,29,1
2013021142,10,6,1,1,2,2,0,NULL,NULL,5,5,2,0:12:37,32,37,1
2013021142,10,6,1,1,2,2,-1,NULL,NULL,5,5,3,0:05:11,45,11,1
2013021139,26,6,1,1,2,2,0,NULL,NULL,5,5,1,0:14:50,14,50,1
2013021136,18,7,1,1,2,2,0,NULL,NULL,5,5,2,0:01:28,21,28,1
2013021132,15,29,1,1,2,2,1,NULL,NULL,5,5,1,0:09:41,9,41,1
2013021132,15,29,1,1,2,2,-3,NULL,NULL,5,5,3,0:17:13,57,13,1
2013021127,10,5,1,1,2,2,-1,NULL,NULL,5,5,3,0:04:47,44,47,1
2013021125,27,29,1,1,2,2,0,NULL,NULL,5,5,4,0:02:49,62,49,1
2013021124,6,23,1,1,2,2,-5,NULL,NULL,5,5,3,0:15:30,55,30,1
2013021123,17,3,1,1,2,2,1,NULL,NULL,5,5,2,0:08:14,28,14,1
2013021117,25,10,1,1,2,2,-1,NULL,NULL,5,5,1,0:19:27,19,27,1
2013021116,24,20,1,1,2,2,1,NULL,NULL,5,5,1,0:15:45,15,45,1
2013021115,18,22,1,1,2,2,-1,NULL,NULL,5,5,1,0:16:12,16,12,1
2013021115,18,22,1,1,2,2,-1,NULL,NULL,4,4,1,0:20:00,20,0,1
2013021114,29,30,1,1,2,2,0,NULL,NULL,5,5,3,0:16:31,56,31,1
2013021112,21,2,1,1,2,2,-2,NULL,NULL,5,4,3,0:04:28,44,28,1
